"bp-Homecard href","Badge","bp-Homecard__Photo--image src","bp-Homecard__Photo","bp-Homecard__Price--value","bp-Homecard__Price--label","bp-Homecard__Stats--beds","bp-Homecard__Stats--baths","bp-Homecard__LockedStat--value","bp-Homecard__Content"
"https://www.redfin.com/GA/Atlanta/3433-Keswick-Dr-30341/home/23692104","SOLD APR 11, 2025","https://ssl.cdn-redfin.com/photo/82/islphoto/527/genIslnoResize.7539527_2.jpg","3433 Keswick Dr, Chamblee, GA 30341","$875,000","Last sold price","5 beds","4 baths","2,963","{""@context"":""http://schema.org"",""name"":""3433 Keswick Dr, Chamblee, GA 30341"",""url"":""https://www.redfin.com/GA/Atlanta/3433-Keswick-Dr-30341/home/23692104"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3433 Keswick Dr"",""addressLocality"":""Chamblee"",""addressRegion"":""GA"",""postalCode"":""30341"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8903992,""longitude"":-84.3156968},""numberOfRooms"":5,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2963,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2652-Brickell-Sq-30341/home/23698226","SOLD BY REDFIN JUN 30, 2025","https://ssl.cdn-redfin.com/system_files/media/1080681_JPG/genDesktopMapHomeCardUrl/item_10.jpg","2652 Brickell Sq, Atlanta, GA 30341","$750,000","Last sold price","4 beds","4 baths","3,682","{""@context"":""http://schema.org"",""name"":""2652 Brickell Sq, Atlanta, GA 30341"",""url"":""https://www.redfin.com/GA/Atlanta/2652-Brickell-Sq-30341/home/23698226"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2652 Brickell Sq"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30341"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.865822,""longitude"":-84.2506065},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":3682,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2485-Ortega-Way-30341/home/23702114","SOLD APR 30, 2025","https://ssl.cdn-redfin.com/photo/82/islphoto/666/genIslnoResize.7556666_0.jpg","2485 Ortega Way N, Chamblee, GA 30341","$260,000","Last sold price","3 beds","2 baths","1,720","{""@context"":""http://schema.org"",""name"":""2485 Ortega Way N, Chamblee, GA 30341"",""url"":""https://www.redfin.com/GA/Atlanta/2485-Ortega-Way-30341/home/23702114"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2485 Ortega Way N"",""addressLocality"":""Chamblee"",""addressRegion"":""GA"",""postalCode"":""30341"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8814769,""longitude"":-84.2873904},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1720,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/3796-Greenhill-Dr-30341/home/23702484","SOLD APR 28, 2025","https://ssl.cdn-redfin.com/photo/81/islphoto/070/genIslnoResize.10481070_1.jpg","3796 Greenhill Dr, Atlanta, GA 30341","$537,000","Last sold price","4 beds","2 baths","1,593","{""@context"":""http://schema.org"",""name"":""3796 Greenhill Dr, Atlanta, GA 30341"",""url"":""https://www.redfin.com/GA/Atlanta/3796-Greenhill-Dr-30341/home/23702484"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3796 Greenhill Dr"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30341"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.9033369,""longitude"":-84.305741},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1593,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/3576-Sexton-Woods-Dr-30341/home/23707247","SOLD APR 10, 2025","https://ssl.cdn-redfin.com/photo/82/islphoto/713/genIslnoResize.7532713_4.jpg","3576 Sexton Woods Dr, Chamblee, GA 30341","$1,400,000","Last sold price","5 beds","4.5 baths","4,014","{""@context"":""http://schema.org"",""name"":""3576 Sexton Woods Dr, Chamblee, GA 30341"",""url"":""https://www.redfin.com/GA/Atlanta/3576-Sexton-Woods-Dr-30341/home/23707247"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3576 Sexton Woods Dr"",""addressLocality"":""Chamblee"",""addressRegion"":""GA"",""postalCode"":""30341"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8959398,""longitude"":-84.3123211},""numberOfRooms"":5,""floorSize"":{""@type"":""QuantitativeValue"",""value"":4014,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2855-Cedar-Canyon-Ct-NE-30345/home/23713492","","https://ssl.cdn-redfin.com/photo/82/islphoto/645/genIslnoResize.7578645_0.jpg","2855 Cedar Canyon Ct, Atlanta, GA 30345","$603,000","Last sold price","4 beds","3 baths","3,131","{""@context"":""http://schema.org"",""name"":""2855 Cedar Canyon Ct, Atlanta, GA 30345"",""url"":""https://www.redfin.com/GA/Atlanta/2855-Cedar-Canyon-Ct-NE-30345/home/23713492"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2855 Cedar Canyon Ct"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30345"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8363169,""longitude"":-84.271908},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":3131,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/2133-Allaire-Ln-NE-30345/home/23722478","","https://ssl.cdn-redfin.com/photo/82/islphoto/113/genIslnoResize.7542113_4.jpg","2133 Allaire Ln NE, Decatur, GA 30345","$727,000","Last sold price","4 beds","2 baths","1,964","{""@context"":""http://schema.org"",""name"":""2133 Allaire Ln NE, Decatur, GA 30345"",""url"":""https://www.redfin.com/GA/Atlanta/2133-Allaire-Ln-NE-30345/home/23722478"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2133 Allaire Ln NE"",""addressLocality"":""Decatur"",""addressRegion"":""GA"",""postalCode"":""30345"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8470552,""longitude"":-84.2946518},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1964,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/2940-Parkridge-Dr-NE-30319/home/23722592","","https://ssl.cdn-redfin.com/photo/81/islphoto/709/genIslnoResize.10494709_0.jpg","2940 Parkridge Dr NE, Brookhaven, GA 30319","$1,055,000","Last sold price","4 beds","3 baths","2,300","{""@context"":""http://schema.org"",""name"":""2940 Parkridge Dr NE, Brookhaven, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/2940-Parkridge-Dr-NE-30319/home/23722592"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""2940 Parkridge Dr NE"",""addressLocality"":""Brookhaven"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8741643,""longitude"":-84.3196279},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2300,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/3928-Ashford-Lake-Ct-NE-30319/home/23724559","","https://ssl.cdn-redfin.com/photo/82/islphoto/963/genIslnoResize.7531963_1.jpg","3928 Ashford Lake Ct NE, Brookhaven, GA 30319","$510,000","Last sold price","3 beds","2.5 baths","2,230","{""@context"":""http://schema.org"",""name"":""3928 Ashford Lake Ct NE, Brookhaven, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/3928-Ashford-Lake-Ct-NE-30319/home/23724559"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""3928 Ashford Lake Ct NE"",""addressLocality"":""Brookhaven"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.9046032,""longitude"":-84.3289198},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2230,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1908-Variations-Dr-NE-30329/home/23725781","","https://ssl.cdn-redfin.com/system_files/media/1048824_JPG/genDesktopMapHomeCardUrl/item_53.jpg","1908 Variations Dr NE, Atlanta, GA 30329","$350,000","Last sold price","3 beds","2.5 baths","1,827","{""@context"":""http://schema.org"",""name"":""1908 Variations Dr NE, Atlanta, GA 30329"",""url"":""https://www.redfin.com/GA/Atlanta/1908-Variations-Dr-NE-30329/home/23725781"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1908 Variations Dr NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30329"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8576667,""longitude"":-84.31111},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1827,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Atlanta/1428-Brook-Valley-Ln-NE-30324/home/23726998","","https://ssl.cdn-redfin.com/photo/82/islphoto/127/genIslnoResize.7553127_3.jpg","1428 Brook Valley Ln NE, Atlanta, GA 30324","$755,000","Last sold price","3 beds","2 baths","1,733","{""@context"":""http://schema.org"",""name"":""1428 Brook Valley Ln NE, Atlanta, GA 30324"",""url"":""https://www.redfin.com/GA/Atlanta/1428-Brook-Valley-Ln-NE-30324/home/23726998"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1428 Brook Valley Ln NE"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30324"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8221016,""longitude"":-84.3460311},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":1733,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/1309-Brookshire-Ln-NE-30319/home/23730240","","https://ssl.cdn-redfin.com/photo/82/islphoto/037/genIslnoResize.7553037_5.jpg","1309 Brookshire Ln NE, Brookhaven, GA 30319","$715,000","Last sold price","4 beds","3 baths","2,855","{""@context"":""http://schema.org"",""name"":""1309 Brookshire Ln NE, Brookhaven, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/1309-Brookshire-Ln-NE-30319/home/23730240"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1309 Brookshire Ln NE"",""addressLocality"":""Brookhaven"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8467556,""longitude"":-84.3352975},""numberOfRooms"":4,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2855,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
"https://www.redfin.com/GA/Brookhaven/1901-Sterling-Oaks-Cir-NE-30319/home/23732077","","https://ssl.cdn-redfin.com/photo/82/islphoto/833/genIslnoResize.7527833_1.jpg","1901 Sterling Oaks Cir, Atlanta, GA 30319","$450,000","Last sold price","3 beds","3.5 baths","2,314","{""@context"":""http://schema.org"",""name"":""1901 Sterling Oaks Cir, Atlanta, GA 30319"",""url"":""https://www.redfin.com/GA/Brookhaven/1901-Sterling-Oaks-Cir-NE-30319/home/23732077"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""1901 Sterling Oaks Cir"",""addressLocality"":""Atlanta"",""addressRegion"":""GA"",""postalCode"":""30319"",""addressCountry"":""US""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":33.8376231,""longitude"":-84.3364292},""numberOfRooms"":3,""floorSize"":{""@type"":""QuantitativeValue"",""value"":2314,""unitCode"":""FTK""},""@type"":""SingleFamilyResidence""}"
