"bp-Homecard href","Badge","bp-Homecard__Photo","ListingRemarks","bp-Homecard__Price--value","bp-Homecard__Stats--beds","bp-Homecard__Stats--baths","bp-Homecard__LockedStat--value"
"https://www.redfin.com/GA/Atlanta/3273-Hampton-Green-Way-30340/home/23693178","SOLD BY REDFIN","3273 Hampton Green Way, Atlanta, GA 30340","Welcome home!! This beautiful, quiet townhome community sits just outside the perimeter off Chamblee Tucker Rd. The bright and airy eat-in kitchen with a bistro-style counter is perfect for entertaining while you cook. The open dining and living space has a wet bar and cozy fireplace that opens to the patio and cute backyard. Retreat upstairs to the spacious primary suite with an updated shower and designer closet system. The two well-sized secondary bedrooms have lots of space and large closets. Downstairs off the garage, there’s a huge bonus/flex room ideal for a media room, home office, gym, or learning space. All this with tons of additional storage and just minutes from shopping,","$369,000","3 beds","2.5 baths","1,903"
"https://www.redfin.com/GA/Atlanta/1764-Rockland-Dr-SE-30316/home/23694674","SOLD BY REDFIN","1764 Rockland Dr SE, Atlanta, GA 30316","Welcome to this stunning 3BR/ 2BA home located in the highly sought-after neighborhood of hot East Atlanta and situated within the renowned Burgess Peterson school district. With its proximity to the vibrant Atlanta Beltline and the upcoming Halidom eatery, this home provides the perfect blend of convenience and lifestyle. Step inside this beautifully maintained home and be greeted by a spacious and welcoming atmosphere. The open floor plan allows for seamless flow between the living, dining, and kitchen areas, creating an ideal space for both relaxation and entertaining. The kitchen is a chef's delight, featuring modern appliances, ample counter space, and stylish cabinetry. Whether you're","$540,000","3 beds","2 baths","1,233"
"https://www.redfin.com/GA/Atlanta/1745-Harts-Run-30341/home/23697237","SOLD BY REDFIN","1745 Harts Run, Chamblee, GA 30341","NEW KITCHEN UPGRADE COMPLETED!! Upscale granite, subway tile backsplash, new sink and faucet, and new center island cooktop!  Don’t Miss Out on this beautifully maintained 4-bedroom home located in sought-after Chamblee subdivision, Harts Place. This Open Concept home features a 2 story foyer and living room with lots of natural light throughout the home. Oversized Primary Suite on Main, walk-in his/her closets. Updated shower with soaking tub, and dual vanities. Fresh paint throughout, new carpet upstairs, and primary bedroom. The living room offers built-in bookshelves, custom travertine tile flooring. Enjoy the large screened porch year-round with a private, fenced backyard. The ki","$685,000","4 beds","3.5 baths","2,950"
"https://www.redfin.com/GA/Brookhaven/4241-Cranton-Ct-NE-30319/home/23697468","SOLD BY REDFIN","4241 Cranton Ct NE, Brookhaven, GA 30319","Spacious renovated brick ranch home with 4 Bedrooms  &  2.5 Baths located inside 285 and a short distance to the amazing Murphy-Candler Park. Situated on a quiet col-de-sac lot. Close to all essentials including, healthcare, shopping, dining and award-winning schools! Murphey Candler Park amenities include multi-use fields, tennis courts, swimming pool, playground, picnic areas, a lake and a walking trail. This home boasts natural light with open vaulted ceilings in the great room, floor to ceiling windows with sliding glass doors that lead to the beautiful private, landscaped back yard viewing Japanese Maples and Hydrangeas. Large covered patio area for entertaining with natural gas co","$615,000","4 beds","2.5 baths","2,776"
"https://www.redfin.com/GA/Atlanta/2652-Brickell-Sq-30341/home/23698226","SOLD BY REDFIN JUN 30, 2025","2652 Brickell Sq, Atlanta, GA 30341","Located in the sought-after Brickell Square community, this beautifully maintained two-story home offers designer finishes, spacious living, and modern convenience - all just minutes from top schools, shopping, dining, and major highways. Featuring an open floor plan with  gorgeous hardwood floors throughout and a neutral palette that suits any style, this home offers a timeless blend of comfort and elegance. The stunning chef’s kitchen includes quartz countertops, a high-end gas range top, large island with breakfast bar, farm sink, and a walk-in  pantry. A coffered ceiling, custom built-ins, and a cozy gas fireplace elevate the living room, while French doors lead to a professionall","$750,000","4 beds","4 baths","3,682"
"https://www.redfin.com/GA/Brookhaven/1177-Pine-Grove-Ave-NE-30319/home/23701502","SOLD BY REDFIN","1177 Pine Grove Ave NE, Brookhaven, GA 30319","Custom built by the owner/builder himself, this 5 bedroom 4 bath Brookhaven Heights home is incredible! Tall ceilings and New England Birch hardwoods, transoms and unique touches give it an old house feel, with flex spaces to gather or relax. Four spacious porches for outdoor entertaining. Huge chef's kitchen with poured in place concrete countertops. Most rooms newly painted. New fixtures in primary bathroom. Roof is 2 yrs old and exterior was painted 5 yrs ago. Full basement with huge workshop, bedroom and full bath, plus laundry room bringing the total sq ft up to over 4,000, plus a secret room! Huge fenced backyard. Across from the new Langford Park. Close to Starbucks, Kroger, and MART","$797,500","5 beds","4 baths","4,192"
"https://www.redfin.com/GA/Atlanta/1101-Fayetteville-Rd-SE-30316/home/23704805","SOLD BY REDFIN","1101 Fayetteville Rd SE, Atlanta, GA 30316","Meticulously maintained East Atlanta 4-sided brick, renovated ranch with full daylight basement and huge backyard. Spacious kitchen-loads of cabinets and stone countertops/stainless appliances. Hardwoods throughout. Primary suite  &  two guest BRs. Full daylight basement w same footprint as main house - perfect for offices, music room. .. expand for additional BR/BA. Huge fenced back yard w firepit terrace, a large two level deck extension, two driveways w turnaround. . Less than two miles to restaurants  &  shops of East Atlanta Village.","$388,500","3 beds","1.5 baths","1,314"
"https://www.redfin.com/GA/Atlanta/3439-Bayshore-Dr-30340/home/23713840","","3439 Bayshore Dr, Atlanta, GA 30340","","$172,500","2 beds","2.5 baths","1,152"
"https://www.redfin.com/GA/Atlanta/3301-Henderson-Mill-Rd-30341/unit-H1/home/23718436","","3301 Henderson Mill Unit H1 Rd, Atlanta, GA 30341","","$249,900","4 beds","2.5 baths","1,752"
"https://www.redfin.com/GA/Atlanta/997-Burton-Dr-NE-30329/home/23719124","","997 Burton Dr NE, Atlanta, GA 30329","","$415,000","4 beds","2 baths","1,863"
"https://www.redfin.com/GA/Atlanta/2002-Fisher-Trl-NE-30345/home/23722118","","2002 Fisher Trl NE, Atlanta, GA 30345","","$587,000","4 beds","3 baths","2,350"
"https://www.redfin.com/GA/Atlanta/1873-Duke-Rd-30341/home/23723737","","1873 Duke Rd, Atlanta, GA 30341","","$1,600,000","5 beds","4.5 baths","4,504"
"https://www.redfin.com/GA/Atlanta/3394-Spring-Harbour-Dr-30340/home/23725284","","3394 Spring Harbor Dr, Doraville, GA 30340","","$220,000","2 beds","2.5 baths","1,408"
"https://www.redfin.com/GA/Brookhaven/2491-Wawona-Dr-NE-30319/home/23727219","","2491 Wawona Dr NE, Brookhaven, GA 30319","","$1,050,000","5 beds","4 baths","4,368"
"https://www.redfin.com/GA/Atlanta/2511-Woodacres-Rd-NE-30345/home/23728473","","2511 Woodacres Rd NE, Atlanta, GA 30345","","$379,000","3 beds","1.5 baths","1,144"
"https://www.redfin.com/GA/Atlanta/1521-Dianne-Ct-SE-30316/home/23738199","","1521 Dianne Ct SE, Atlanta, GA 30316","","$480,000","4 beds","3 baths","2,033"
"https://www.redfin.com/GA/Atlanta/1871-Vicki-Ln-SE-30316/home/23738361","","1871 Vicki Ln SE, Atlanta, GA 30316","","$385,000","3 beds","2 baths","2,100"
"https://www.redfin.com/GA/Atlanta/274-Ferguson-St-NE-30307/home/23742132","","274 Ferguson St NE, Atlanta, GA 30307","","$534,000","3 beds","2.5 baths","1,888"
"https://www.redfin.com/GA/Atlanta/359-Sisson-Ave-NE-30317/home/23742725","","359 Sisson Ave NE, Atlanta, GA 30317","","$625,000","3 beds","2 baths","1,283"
"https://www.redfin.com/GA/Atlanta/415-Harold-Ave-NE-30307/home/23743558","","415 Harold Ave NE, Atlanta, GA 30307","","$592,500","3 beds","1 bath","1,490"
"https://www.redfin.com/GA/Atlanta/1273-Briarcliff-Rd-NE-30306/home/23747283","","1273 Briarcliff Rd NE, Atlanta, GA 30306","","$585,000","3 beds","2 baths","1,860"
"https://www.redfin.com/GA/Atlanta/2262-Abby-Ln-NE-30345/home/23751321","","2262 Abby Ln NE, Atlanta, GA 30345","","$1,085,000","5 beds","3 baths","3,671"
"https://www.redfin.com/GA/Brookhaven/3609-Ashford-Creek-Dr-NE-30319/home/23762420","","3609 Ashford Creek Dr NE, Brookhaven, GA 30319","","$439,000","3 beds","3.5 baths","2,396"
"https://www.redfin.com/GA/Atlanta/100-Moreland-Ave-SE-30316/unit-G/home/23762905","","100 Moreland Ave SE Unit G, Atlanta, GA 30316","","$420,000","2 beds","2 baths","1,316"
"https://www.redfin.com/GA/Atlanta/1660-Cecilia-Dr-SE-30316/home/23768209","","1660 Cecilia Dr SE, Atlanta, GA 30316","","$315,000","3 beds","2.5 baths","1,600"
"https://www.redfin.com/GA/Atlanta/1251-McPherson-Ave-SE-30316/home/23770037","","1251 Mcpherson Ave SE, Atlanta, GA 30316","","$399,000","2 beds","1 bath","810"
"https://www.redfin.com/GA/Atlanta/71-Russell-St-NE-30317/home/23771528","","71 Russell St NE, Atlanta, GA 30317","","$772,000","4 beds","3 baths","2,494"
"https://www.redfin.com/GA/Brookhaven/2341-Loraine-St-NE-30319/home/23780436","","2341 Loraine St NE, Atlanta, GA 30319","","$1,075,000","4 beds","4.5 baths","4,740"
"https://www.redfin.com/GA/Atlanta/2146-Briarlake-Trce-NE-30345/home/23780557","","2146 Briarlake Trce NE, Atlanta, GA 30345","","$584,000","5 beds","3.5 baths","3,472"
"https://www.redfin.com/GA/Atlanta/3599-Evans-Rd-30340/home/23782426","","3599 Evans Rd, Atlanta, GA 30340","","$402,000","4 beds","2.5 baths","2,128"
