SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,October-20-2021,Single Family Residential,1124 45th Pl SE,Washington,DC,20019,455000,3,2.0,FORT DUPONT PARK,1702,422532,2020,,267,,Sold,,,https://www.redfin.com/DC/Washington/1124-45th-Pl-SE-20019/home/10136502,BRIGHT MLS,DCDC2017888,N,Y,38.8775659,-76.9354206
PAST SALE,,Condo/Co-op,224 S St NE #2,Washington,DC,20002,663000,3,3.0,,1293,,1923,,513,,,,,https://www.redfin.com/DC/Washington/224-S-St-NE-20002/unit-2/home/10349929,,,N,Y,38.9143127,-77.0025519
PAST SALE,May-19-2021,Townhouse,1414 Foxhall Rd NW,Washington,DC,20007,1100000,3,2.0,PALISADES,1918,2172,1919,,574,,Sold,,,https://www.redfin.com/DC/Washington/1414-Foxhall-Rd-NW-20007/home/9939296,BRIGHT MLS,DCDC522860,N,Y,38.9075447,-77.0819294
PAST SALE,March-25-2021,Townhouse,1874 Monroe St NW,Washington,DC,20010,931000,3,2.0,MOUNT PLEASANT,2570,1610,1910,,362,,Sold,,,https://www.redfin.com/DC/Washington/1874-Monroe-St-NW-20010/home/10010014,BRIGHT MLS,DCDC509032,N,Y,38.9330877,-77.0436661
PAST SALE,August-3-2020,Townhouse,821 Madison St NW,Washington,DC,20011,780000,3,3.5,PETWORTH,2343,1800,1925,,333,,Sold,,,https://www.redfin.com/DC/Washington/821-Madison-St-NW-20011/home/10038988,BRIGHT MLS,DCDC476018,N,Y,38.9586266,-77.0250753
PAST SALE,,Townhouse,1115 4th St SE,Washington,DC,20003,1400000,4,4.5,,1868,881,2012,,749,,,,,https://www.redfin.com/DC/Washington/1115-4th-St-SE-20003/home/45504756,,,N,Y,38.8770666,-77.0007974
PAST SALE,March-11-2022,Townhouse,836 Lamont St NW Unit B,Washington,DC,20010,715000,2,2.5,Columbia Heights,1170,,2005,,611,150,Sold,,,https://www.redfin.com/DC/Washington/836-Lamont-St-NW-20010/unit-B/home/107586821,BRIGHT MLS,DCDC2039740,N,Y,38.9307014,-77.0261014
PAST SALE,December-11-2023,Townhouse,1240 I St NE,Washington,DC,20002,650000,2,1.0,Old City 1,1428,1200,1918,,455,,Sold,,,https://www.redfin.com/DC/Washington/1240-I-St-NE-20002/home/9909584,BRIGHT MLS,DCDC2121756,N,Y,38.9014915,-76.9886691
PAST SALE,June-15-2023,Townhouse,422 15th St SE,Washington,DC,20003,990000,3,2.5,Old City 1,1338,1233,1900,,740,,Sold,,,https://www.redfin.com/DC/Washington/422-15th-St-SE-20003/home/9919140,BRIGHT MLS,DCDC2100678,N,Y,38.8834958,-76.9834085
PAST SALE,,Single Family Residential,6208 5th St NW,Washington,DC,20011,580000,3,1.5,,1054,1856,1925,,550,,,,,https://www.redfin.com/DC/Washington/6208-5th-St-NW-20011/home/10055389,,,N,Y,38.9653704,-77.0200986
PAST SALE,May-5-2021,Townhouse,1631 R St SE,Washington,DC,20020,450000,3,2.0,ANACOSTIA,1466,1338,1939,,307,,Sold,,,https://www.redfin.com/DC/Washington/1631-R-St-SE-20020/home/10149452,BRIGHT MLS,DCDC516626,N,Y,38.86927,-76.981138
PAST SALE,July-15-2024,Townhouse,2035 2nd St NE,Washington,DC,20002,860000,4,3.5,Eckington,1796,1834,1917,,479,,Sold,,,https://www.redfin.com/DC/Washington/2035-2nd-St-NE-20002/home/10075133,BRIGHT MLS,DCDC2146038,N,Y,38.9177112,-77.0033196
PAST SALE,January-3-2025,Single Family Residential,4224 16th St NW,Washington,DC,20011,1885000,8,5.5,Crestwood,6671,7423,1921,,283,,Sold,,,https://www.redfin.com/DC/Washington/4224-16th-St-NW-20011/home/55187929,BRIGHT MLS,DCDC2173126,N,Y,38.9428059,-77.0368775
PAST SALE,April-27-2022,Townhouse,1013 Fairmont St NW,Washington,DC,20001,800000,3,2.0,Columbia Heights,1578,1063,1911,,507,,Sold,,,https://www.redfin.com/DC/Washington/1013-Fairmont-St-NW-20001/home/10030079,BRIGHT MLS,DCDC2039294,N,Y,38.9250351,-77.0262427
PAST SALE,November-12-2024,Townhouse,841 Hr Dr SE,Washington,DC,20032,423000,3,2.5,Congress Heights,1804,1342,2000,,234,150,Sold,,,https://www.redfin.com/DC/Washington/841-Hr-Dr-SE-20032/home/10182152,BRIGHT MLS,DCDC2163292,N,Y,38.8296667,-76.9919602
PAST SALE,June-25-2021,Single Family Residential,5411 N Capitol St NE,Washington,DC,20011,710000,3,2.5,CHILLUM,2521,4200,1938,,282,,Sold,,,https://www.redfin.com/DC/Washington/5411-N-Capitol-St-NE-20011/home/10077941,BRIGHT MLS,DCDC524062,N,Y,38.9561337,-77.0087544
PAST SALE,October-14-2020,Townhouse,3542 13th St NW #1,Washington,DC,20010,800000,3,3.5,COLUMBIA HEIGHTS,1567,,1911,,511,228,Sold,,,https://www.redfin.com/DC/Washington/3542-13th-St-NW-20010/unit-1/home/107587448,BRIGHT MLS,DCDC487352,N,Y,38.9335632,-77.0300091
PAST SALE,December-9-2020,Townhouse,5410 8th St NW,Washington,DC,20011,670000,4,2.5,PETWORTH,2150,1348,1913,,312,,Sold,,,https://www.redfin.com/DC/Washington/5410-8th-St-NW-20011/home/10039615,BRIGHT MLS,DCDC492320,N,Y,38.9557118,-77.0242486
PAST SALE,August-28-2020,Townhouse,4605-1/2 Macarthur Blvd NW Unit B,Washington,DC,20007,674000,2,2.5,BERKLEY,1190,,1900,,566,698,Sold,,,https://www.redfin.com/DC/Washington/4605-MacArthur-Blvd-NW-20007/unit-B/home/9940115,BRIGHT MLS,DCDC478712,N,Y,38.9114946,-77.0891942
PAST SALE,August-9-2022,Townhouse,329 L St NE,Washington,DC,20002,575000,2,1.0,Old City 1,672,513,1912,,856,,Sold,,,https://www.redfin.com/DC/Washington/329-L-St-NE-20002/home/9892446,BRIGHT MLS,DCDC2051106,N,Y,38.9035494,-77.0009836
PAST SALE,April-11-2022,Single Family Residential,1512 Lawrence St NE,Washington,DC,20017,985000,4,2.5,Brookland,1815,5400,1919,,543,,Sold,,,https://www.redfin.com/DC/Washington/1512-Lawrence-St-NE-20017/home/10093561,BRIGHT MLS,DCDC2040102,N,Y,38.93213,-76.9833559
PAST SALE,October-6-2021,Townhouse,1321 Otis Pl NW,Washington,DC,20010,935000,5,2.0,COLUMBIA HEIGHTS,2150,1958,1909,,435,,Sold,,,https://www.redfin.com/DC/Washington/1321-Otis-Pl-NW-20010/home/10026546,BRIGHT MLS,DCDC2011286,N,Y,38.9347464,-77.0304986
PAST SALE,August-30-2021,Townhouse,4707 Sargent Rd NE,Washington,DC,20017,630000,4,3.5,RIGGS PARK,2040,3039,1974,,309,,Sold,,,https://www.redfin.com/DC/Washington/4707-Sargent-Rd-NE-20017/home/10092778,BRIGHT MLS,DCDC2004938,N,Y,38.9471427,-76.9889016
PAST SALE,September-14-2020,Townhouse,1177 3rd St NE,Washington,DC,20002,779000,3,2.5,OLD CITY I,1080,809,1925,,721,,Sold,,,https://www.redfin.com/DC/Washington/1177-3rd-St-NE-20002/home/9892394,BRIGHT MLS,DCDC480118,N,Y,38.9054553,-77.0018136
PAST SALE,March-25-2022,Townhouse,717 Oneida Pl NW,Washington,DC,20011,800000,3,2.5,Brightwood,1790,1938,1950,,447,,Sold,,,https://www.redfin.com/DC/Washington/717-Oneida-Pl-NW-20011/home/10179782,BRIGHT MLS,DCDC2037352,N,Y,38.9621485,-77.0233218
PAST SALE,October-8-2021,Townhouse,1417 Taylor St NW,Washington,DC,20011,892500,4,2.5,COLUMBIA HEIGHTS,2112,1980,1923,,423,,Sold,,,https://www.redfin.com/DC/Washington/1417-Taylor-St-NW-20011/home/10015916,BRIGHT MLS,DCDC2010192,N,Y,38.9410259,-77.0334966
PAST SALE,July-27-2020,Townhouse,4009 5th St NW,Washington,DC,20011,735000,4,2.0,PETWORTH,1922,1800,1917,,382,,Sold,,,https://www.redfin.com/DC/Washington/4009-5th-St-NW-20011/home/10059620,BRIGHT MLS,DCDC476102,N,Y,38.9403213,-77.0189334
